SKU,SkuName,Product Type,site Name,skutype,Code,Recipe,Stems,Box fit,status,Create date,Season,skutype,Plant Type,Vendor,VendorType
BB1192-30,Taipei,Mixed,Mystic Bloom Harmony,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=548235022,30,Large,Active,no match,,Perishable,One Time,EBT,Floral
BB1193-30,Birmingham,Mixed,Sunlit Succulent,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=890829140,30,Large,Active,no match,,Perishable,One Time,EBT,Floral
BB1194P,"5"" Blue Watercolor Orchid on 5"" Brown Wood",Plants,Blue Orchid with Wood Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1066073426,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1199-32,Stockholm,Mixed,UNKN,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=772155971,32,Large,Active,no match,,Perishable,One Time,EBT,Floral
BB1200-35,Lyon,Mixed,Holiday on the Farm / Valentine's Day on the Farm,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=836449696,35,Large,Active,no match,,Perishable,One Time,EBT,Floral
BB1202P,"5"" Splinriet Bromeliad on 5"" Brown Wood",Plants,Splinriet Bromeliad with Wood Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1647943632,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1205-32,Buenos Aires,Mixed,Paradise Symphony,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=829373994,32,Large,Active,no match,,Perishable,One Time,EBT,Floral
BB1208P,"5"" White Orchid",Plants,"5"" White Orchid",Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=2068611342,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB121-34,Sunflowers Mixed bqt,Mixed,Amber Elegance,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=764061068,34,Large,Active,no match,,Perishable,One Time,ELT,Floral
BB1211P,"5"" Zz on 5"" Grey Nate",Plants,ZZ Plant with Grey Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=168536348,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1212P,"2.5"" Pink Orchid on 5"" Grey Nate",Plants,Cape Town with Grey Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=2018035064,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1213-30,Proposal #6,Mixed,UNKN,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=480871509,30,Large,Active,no match,,Perishable,One Time,EBT,Floral
BB1214P,"5"" Pink Bromeliad on 5"" Grey Nate",Plants,Pink Bomeliad with Grey Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1571199874,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1220P,"5"" Imperial Red Philodendron on 5"" Grey Nate",Plants,Red Philodendron with Grey Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=228253073,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1222P,"5"" Splinriet Bromeliad on 5"" White Evi",Plants,Splinriet Bromeliad with White Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=921441692,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
