Code,RetailCode,PlanType,Sku,Name,SiteName,Product Type,VendorCode,priceCode,Price,Year,Month,retail,Country,Status
BB1129PGNCED,BB1129PED,NonSuscription,BB1129P,"5"" Calathea lancifolia on 5"" Brown Wood",Calathea Lancifolia with Wood Pot,Plants,GNC,ED,$24.00 ,2024,JAN,$59.99 ,USA,
BB1129PGNCVD,BB1129PVD,NonSuscription,BB1129P,"5"" Calathea lancifolia on 5"" Brown Wood",Calathea Lancifolia with Wood Pot,Plants,GNC,VD,$24.00 ,2024,JAN,$59.99 ,USA,
BB1129PGNCMD,BB1129PMD,NonSuscription,BB1129P,"5"" Calathea lancifolia on 5"" Brown Wood",Calathea Lancifolia with Wood Pot,Plants,GNC,MD,$24.00 ,2024,JAN,$59.99 ,USA,
BB1130PGNCED,BB1130PED,NonSuscription,BB1130P,"Fiddle Leaf Fig on 5"" Grey Nate",Fiddle Leaf Fig with Grey Pot,Plants,GNC,ED,$24.00 ,2024,JAN,price not avail,USA,
BB1130PGNCVD,BB1130PVD,NonSuscription,BB1130P,"Fiddle Leaf Fig on 5"" Grey Nate",Fiddle Leaf Fig with Grey Pot,Plants,GNC,VD,$24.00 ,2024,JAN,price not avail,USA,
BB1130PGNCMD,BB1130PMD,NonSuscription,BB1130P,"Fiddle Leaf Fig on 5"" Grey Nate",Fiddle Leaf Fig with Grey Pot,Plants,GNC,MD,$24.00 ,2024,JAN,price not avail,USA,
BB1131-26ELTMD,BB1131-26MD,NonSuscription,BB1131-26,Fortaleza,UNKN,Mixed,ELT,MD,$10.60 ,2024,,not avail,Colombia,
BB1131-26ELTFL,BB1131-26FL,NonSuscription,BB1131-26,Fortaleza,UNKN,Mixed,ELT,FL,$10.60 ,2024,,not avail,Colombia,
BB1131-26ELTCM,BB1131-26CM,NonSuscription,BB1131-26,Fortaleza,UNKN,Mixed,ELT,CM,$10.60 ,2024,,not avail,Colombia,
BB1131-26ELTED,BB1131-26ED,NonSuscription,BB1131-26,Fortaleza,UNKN,Mixed,ELT,ED,$9.40 ,2024,JAN,not avail,Colombia,
BB1131-26ELTVD,BB1131-26VD,NonSuscription,BB1131-26,Fortaleza,UNKN,Mixed,ELT,VD,$10.60 ,2024,JAN,not avail,Colombia,
